"","flybase_gene_id","group_name"
"1","FBgn0040364","0 tissues"
"2","FBgn0030098","0 tissues"
"3","FBgn0030148","0 tissues"
"4","FBgn0030156","0 tissues"
"5","FBgn0035280","0 tissues"
"6","FBgn0040553","0 tissues"
"7","FBgn0035325","0 tissues"
"8","FBgn0035359","0 tissues"
"9","FBgn0030262","0 tissues"
"10","FBgn0040729","0 tissues"
"11","FBgn0031942","0 tissues"
"12","FBgn0040736","0 tissues"
"13","FBgn0040794","0 tissues"
"14","FBgn0030332","0 tissues"
"15","FBgn0000442","0 tissues"
"16","FBgn0000551","0 tissues"
"17","FBgn0040959","0 tissues"
"18","FBgn0035554","0 tissues"
"19","FBgn0035607","0 tissues"
"20","FBgn0035611","0 tissues"
"21","FBgn0035638","0 tissues"
"22","FBgn0001187","0 tissues"
"23","FBgn0030544","0 tissues"
"24","FBgn0035666","0 tissues"
"25","FBgn0042118","0 tissues"
"26","FBgn0030594","0 tissues"
"27","FBgn0001285","0 tissues"
"28","FBgn0030615","0 tissues"
"29","FBgn0035737","0 tissues"
"30","FBgn0035779","0 tissues"
"31","FBgn0035780","0 tissues"
"32","FBgn0035792","0 tissues"
"33","FBgn0043783","0 tissues"
"34","FBgn0002535","0 tissues"
"35","FBgn0002564","0 tissues"
"36","FBgn0002569","0 tissues"
"37","FBgn0002570","0 tissues"
"38","FBgn0030747","0 tissues"
"39","FBgn0030756","0 tissues"
"40","FBgn0030774","0 tissues"
"41","FBgn0030824","0 tissues"
"42","FBgn0030828","0 tissues"
"43","FBgn0003060","0 tissues"
"44","FBgn0003086","0 tissues"
"45","FBgn0036106","0 tissues"
"46","FBgn0030947","0 tissues"
"47","FBgn0036131","0 tissues"
"48","FBgn0030968","0 tissues"
"49","FBgn0003357","0 tissues"
"50","FBgn0003358","0 tissues"
"51","FBgn0030999","0 tissues"
"52","FBgn0031000","0 tissues"
"53","FBgn0031034","0 tissues"
"54","FBgn0036229","0 tissues"
"55","FBgn0031080","0 tissues"
"56","FBgn0003863","0 tissues"
"57","FBgn0036362","0 tissues"
"58","FBgn0050458","0 tissues"
"59","FBgn0036419","0 tissues"
"60","FBgn0036422","0 tissues"
"61","FBgn0031277","0 tissues"
"62","FBgn0051015","0 tissues"
"63","FBgn0036467","0 tissues"
"64","FBgn0004425","0 tissues"
"65","FBgn0004427","0 tissues"
"66","FBgn0004428","0 tissues"
"67","FBgn0004430","0 tissues"
"68","FBgn0262607","0 tissues"
"69","FBgn0004554","0 tissues"
"70","FBgn0038130","0 tissues"
"71","FBgn0004780","0 tissues"
"72","FBgn0004782","0 tissues"
"73","FBgn0004783","0 tissues"
"74","FBgn0036596","0 tissues"
"75","FBgn0036597","0 tissues"
"76","FBgn0036598","0 tissues"
"77","FBgn0036602","0 tissues"
"78","FBgn0031467","0 tissues"
"79","FBgn0036610","0 tissues"
"80","FBgn0036627","0 tissues"
"81","FBgn0031514","0 tissues"
"82","FBgn0031548","0 tissues"
"83","FBgn0031562","0 tissues"
"84","FBgn0036711","0 tissues"
"85","FBgn0031579","0 tissues"
"86","FBgn0031580","0 tissues"
"87","FBgn0051410","0 tissues"
"88","FBgn0010019","0 tissues"
"89","FBgn0010043","0 tissues"
"90","FBgn0010044","0 tissues"
"91","FBgn0031653","0 tissues"
"92","FBgn0031654","0 tissues"
"93","FBgn0036806","0 tissues"
"94","FBgn0051547","0 tissues"
"95","FBgn0036831","0 tissues"
"96","FBgn0036833","0 tissues"
"97","FBgn0031713","0 tissues"
"98","FBgn0010357","0 tissues"
"99","FBgn0010358","0 tissues"
"100","FBgn0010359","0 tissues"
"101","FBgn0036878","0 tissues"
"102","FBgn0263314","0 tissues"
"103","FBgn0010425","0 tissues"
"104","FBgn0031791","0 tissues"
"105","FBgn0036947","0 tissues"
"106","FBgn0036948","0 tissues"
"107","FBgn0036949","0 tissues"
"108","FBgn0051781","0 tissues"
"109","FBgn0031860","0 tissues"
"110","FBgn0036996","0 tissues"
"111","FBgn0011283","0 tissues"
"112","FBgn0031910","0 tissues"
"113","FBgn0031929","0 tissues"
"114","FBgn0031940","0 tissues"
"115","FBgn0033729","0 tissues"
"116","FBgn0051901","0 tissues"
"117","FBgn0011554","0 tissues"
"118","FBgn0011555","0 tissues"
"119","FBgn0011556","0 tissues"
"120","FBgn0031957","0 tissues"
"121","FBgn0011581","0 tissues"
"122","FBgn0051954","0 tissues"
"123","FBgn0051956","0 tissues"
"124","FBgn0032008","0 tissues"
"125","FBgn0037125","0 tissues"
"126","FBgn0037127","0 tissues"
"127","FBgn0037128","0 tissues"
"128","FBgn0032049","0 tissues"
"129","FBgn0011822","0 tissues"
"130","FBgn0032068","0 tissues"
"131","FBgn0011834","0 tissues"
"132","FBgn0037176","0 tissues"
"133","FBgn0037177","0 tissues"
"134","FBgn0052188","0 tissues"
"135","FBgn0052270","0 tissues"
"136","FBgn0037387","0 tissues"
"137","FBgn0013279","0 tissues"
